iter	Passed	Remaining
0	9	1974
1	17	1727
2	25	1665
3	33	1631
4	41	1631
5	49	1612
6	57	1578
7	65	1566
8	72	1540
9	80	1536
10	88	1523
11	97	1532
12	105	1518
13	114	1518
14	121	1498
15	130	1498
16	137	1483
17	146	1479
18	157	1500
19	165	1487
20	173	1474
21	180	1464
22	188	1452
23	197	1448
24	204	1434
25	213	1430
26	220	1415
27	229	1412
28	237	1400
29	246	1394
30	253	1381
31	261	1374
32	268	1360
33	277	1354
34	284	1342
35	293	1335
36	300	1321
37	308	1314
38	315	1301
39	323	1294
40	330	1282
41	339	1276
42	346	1265
43	354	1255
44	363	1250
45	370	1241
46	379	1235
47	386	1223
48	394	1215
49	401	1204
50	410	1198
51	417	1189
52	430	1193
53	444	1202
54	455	1199
55	465	1197
56	476	1195
57	489	1197
58	498	1192
59	511	1192
60	520	1185
61	529	1178
62	541	1176
63	549	1167
64	558	1159
65	565	1148
66	574	1140
67	582	1130
68	590	1121
69	597	1110
70	606	1101
71	613	1090
72	622	1083
73	629	1072
74	638	1064
75	645	1053
76	658	1052
77	666	1043
78	675	1034
79	683	1024
80	692	1017
81	699	1007
82	708	999
83	716	988
84	724	980
85	732	970
86	740	962
87	748	952
88	757	945
89	766	937
90	775	929
91	784	920
92	791	910
93	800	902
94	807	892
95	815	883
96	824	875
97	831	865
98	839	856
99	848	848
100	859	842
101	871	837
102	878	827
103	887	819
104	895	810
105	904	802
106	912	793
107	921	784
108	928	775
109	936	766
110	943	756
111	952	748
112	960	739
113	968	730
114	975	721
115	982	711
116	990	702
117	997	693
118	1005	684
119	1016	677
120	1023	668
121	1031	659
122	1039	650
123	1046	641
124	1054	632
125	1062	624
126	1070	615
127	1078	606
128	1086	598
129	1094	589
130	1103	581
131	1110	572
132	1118	563
133	1126	554
134	1134	546
135	1141	537
136	1150	529
137	1158	520
138	1166	511
139	1173	503
140	1181	494
141	1189	485
142	1200	478
143	1207	469
144	1216	461
145	1224	452
146	1232	444
147	1239	435
148	1252	428
149	1259	419
150	1268	411
151	1275	402
152	1285	394
153	1292	386
154	1301	377
155	1308	369
156	1316	360
157	1324	351
158	1333	343
159	1340	335
160	1349	326
161	1356	318
162	1364	309
163	1372	301
164	1380	292
165	1387	284
166	1396	275
167	1403	267
168	1411	258
169	1418	250
170	1425	241
171	1433	233
172	1440	224
173	1448	216
174	1455	207
175	1463	199
176	1470	191
177	1479	182
178	1486	174
179	1494	166
180	1501	157
181	1510	149
182	1517	140
183	1525	132
184	1533	124
185	1541	115
186	1549	107
187	1556	99
188	1564	91
189	1572	82
190	1581	74
191	1588	66
192	1597	57
193	1604	49
194	1612	41
195	1620	33
196	1628	24
197	1636	16
198	1675	8
199	1683	0
