ID,Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default,Is_Term,Is_Years_in_current_job,Is_Home_Ownership,Is_Purpose,Is_Purpose_business loan,Is_Purpose_other,Is_Purpose_renewable energy,Is_Purpose_small business
0,Own Home,-1.504098739299855,Unknown,-0.11095342154390785,0.06643571058971146,1.4685263361004084,0.5639076668143038,1.6647792271904904,-0.6044253084111437,1.0,debt consolidation,Short Term,-1.3146797256436369,-1.0253103063273874,7914.0,-0.3991092720837434,0,0,-1.7068718463092056,0,other,0,1,0,0
1,Own Home,-0.40952434394189347,10+ years,-0.11095342154390785,1.012364195493054,-0.3832419682731521,1.99662251099077,-0.3409788778582933,-0.6179942698435126,0.0,debt consolidation,Long Term,-0.05365708936751426,1.0325023840728023,18373.0,-0.45728727867805746,1,1,1.1640135221007732,0,other,0,1,0,0
2,Home Mortgage,-0.9615955206215647,8 years,-0.11095342154390785,0.06643571058971146,-0.43374474021061293,1.9986569851426959,-0.3409788778582933,-0.6190556769890526,0.0,debt consolidation,Short Term,-1.3140566371809714,0.51990522488653,13651.0,-0.4330464425970933,0,0,0.6420343642080498,1,other,0,1,0,0
3,Own Home,-0.8535158670379673,6 years,-0.11095342154390785,-0.6430106530877954,0.8288245582259056,-0.9924650594089,1.6647792271904904,-0.6040678666967703,1.0,debt consolidation,Short Term,-0.790404746876712,-0.7383593839916006,11338.0,-0.6657584689743494,0,0,0.12005520631532639,0,other,0,1,0,0
4,Rent,-0.9115359643583404,8 years,-0.11095342154390785,0.5393999530413827,-0.6694243425854298,-0.3034140950785453,1.6647792271904904,-0.6029977128472582,0.0,debt consolidation,Short Term,-0.7676001151242055,-0.7534324626246839,7180.0,-0.5445542885695285,0,0,0.6420343642080498,0,other,0,1,0,0
5,Rent,0.11579279799719407,7 years,-0.11095342154390785,0.30291783181554705,-0.5010817694605606,-0.35847205181503605,-0.3409788778582933,-0.6182720403715153,0.0,other,Long Term,0.3175390948019988,-0.3249745781962198,18692.0,2.08172443407247,1,1,0.3810447852616881,0,other,0,1,0,0
6,Home Mortgage,0.5686654102872722,10+ years,-0.11095342154390785,-0.4065285318619598,0.4584708973511936,-0.29680205408478655,-0.3409788778582933,0.73203091921892,0.0,home improvements,Short Term,-1.3137738064144542,-1.0002260038260624,2317.0,-0.4185019409485148,0,0,1.1640135221007732,1,other,0,1,0,0
7,Rent,-0.38016984879365723,10+ years,-0.11095342154390785,0.5393999530413827,-0.9387724595852204,-0.4636925118599463,-0.3409788778582933,1.8419805894975603,0.0,other,Short Term,-0.12590938798931728,-0.7788542221103318,19761.0,-0.6124286295962282,1,0,1.1640135221007732,0,other,0,1,0,0
8,Home Mortgage,-1.662693254726848,5 years,-0.11095342154390785,1.4853284379447251,-0.31590493902320466,-1.4184330849683553,1.6647792271904904,-0.6027176643873426,1.0,home improvements,Short Term,-0.747617838786613,-1.305737060299601,17.0,1.763193387504032,0,0,-0.14093437263103534,1,other,0,1,0,0
9,Home Mortgage,0.2878124246237842,1 year,-0.11095342154390785,-0.17004641063612416,1.182343961788131,0.05916734518497315,-0.3409788778582933,1.603914063281859,0.0,debt consolidation,Long Term,1.5264103661180408,-0.09021700276901984,17613.0,1.8650178869254639,1,1,-1.1848926884164823,1,other,0,1,0,0
10,Home Mortgage,-0.0973635086378598,< 1 year,-0.11095342154390785,-0.879492774313631,-1.022943746147655,-0.6776937617156368,-0.3409788778582933,-0.6164721526738409,0.0,debt consolidation,Short Term,-0.28000999364363155,-0.19584103886204368,14592.0,1.95586550595889,0,0,-1.445882267362844,1,other,0,1,0,0
11,Home Mortgage,1.2081111794355528,4 years,-0.11095342154390785,0.30291783181554705,0.003945949914047066,1.006405794858156,-0.3409788778582933,-0.617306477226269,0.0,debt consolidation,Short Term,0.850174008704603,1.0795213905551069,15528.0,-0.45728727867805746,0,0,-0.4019239515773971,1,other,0,1,0,0
12,Home Mortgage,-0.5949513700086531,10+ years,-0.11095342154390785,-0.6430106530877954,-0.602087313335482,-0.1364600599861379,-0.3409788778582933,-0.6173666495514554,0.0,debt consolidation,Short Term,0.31990987335052673,0.5608500056510249,19446.0,-0.6075804623800354,0,0,1.1640135221007732,1,other,0,1,0,0
13,Rent,1.6871214288166803,10+ years,-0.11095342154390785,0.06643571058971146,0.02078020722653362,-1.4146654775463283,-0.3409788778582933,-0.6164017672685712,0.0,debt consolidation,Long Term,1.407871438691645,-1.296602349883128,21869.0,-0.500920783623793,1,1,1.1640135221007732,0,other,0,1,0,0
14,Own Home,2.0747385433686185,7 years,-0.11095342154390785,0.06643571058971146,0.02078020722653362,-1.4144739727531037,-0.3409788778582933,-0.6219812759054927,0.0,other,Short Term,-0.46267283609687737,-1.2985634248608462,0.0,-0.40395743929993627,0,0,0.3810447852616881,0,other,0,1,0,0
15,Rent,-0.7661030027373525,10+ years,-0.11095342154390785,-0.4065285318619598,0.1386200084139419,-0.5624916628628408,-0.3409788778582933,-0.6176397789230621,0.0,debt consolidation,Short Term,-0.668591887169016,-1.0605183183583955,12939.0,-0.5057689508399859,0,0,1.1640135221007732,0,other,0,1,0,0
16,Rent,0.5982024759869397,7 years,-0.11095342154390785,-1.1159748955394666,0.03761446453902077,1.1809891080202848,-0.3409788778582933,-0.6167399936153373,0.0,debt consolidation,Long Term,0.19301677389598515,1.8813191853059843,18844.0,1.742667555298802,1,1,0.3810447852616881,0,other,0,1,0,0
17,Home Mortgage,-0.5223497046941757,3 years,-0.11095342154390785,0.7758820742672183,1.8388799969751204,1.5930972784197457,-0.3409788778582933,-0.6245472649350249,0.0,debt consolidation,Long Term,1.1466342214871885,2.775580193761298,0.0,-0.9081668297839912,1,1,-0.6629135305237588,1,other,0,1,0,0
18,Home Mortgage,0.3483727452634811,2 years,-0.11095342154390785,-0.4065285318619598,1.923051283537555,-0.29940872409194147,-0.3409788778582933,-0.606002738566142,0.0,debt consolidation,Long Term,1.4274021381628512,-0.11001447918262175,13434.0,-0.6609103017581566,1,1,-0.9239031094701204,1,other,0,1,0,0
19,Rent,-0.4204318160634676,2 years,-0.11095342154390785,-1.1159748955394666,-0.8546011730227858,-0.8431219411940999,-0.3409788778582933,-0.6166330620232192,0.0,debt consolidation,Short Term,0.17574395875671037,-0.5923529954412865,14451.0,-0.5784914590828784,1,0,-0.9239031094701204,0,other,0,1,0,0
20,Home Mortgage,0.8524510446082263,10+ years,-0.11095342154390785,0.06643571058971146,1.5021948507253822,0.5001396176148809,-0.3409788778582933,-0.5983359479289394,0.0,debt consolidation,Long Term,1.5890666563291356,0.19110963649472099,8742.0,-0.6512139673257709,0,1,1.1640135221007732,1,other,0,1,0,0
21,Home Mortgage,-0.3653969216395253,6 years,-0.11095342154390785,-0.879492774313631,-0.43374474021061293,-0.2592914369086554,-0.3409788778582933,-0.5964192502696387,0.0,debt consolidation,Short Term,0.25364096820834175,-0.2189005994574323,7786.0,-0.5445542885695285,1,0,0.12005520631532639,1,other,0,1,0,0
22,Rent,-1.540954513521174,Unknown,-0.11095342154390785,-1.1159748955394666,1.8052114823501468,-0.5848708785340242,-0.3409788778582933,-0.6165539472723329,0.0,debt consolidation,Short Term,-1.3140376244511458,-0.3722185560014062,5063.0,-0.4524391114618646,0,0,-1.7068718463092056,0,other,0,1,0,0
23,Own Home,-0.1469342901178408,10+ years,-0.11095342154390785,1.4853284379447251,-0.46741325483558666,0.604597149852819,-0.3409788778582933,1.8214013392070567,0.0,debt consolidation,Short Term,-0.515958906330457,-0.3108013848546639,17132.0,2.26934950359831,1,0,1.1640135221007732,0,other,0,1,0,0
24,Own Home,2.1845007214280803,Unknown,-0.11095342154390785,0.30291783181554705,1.2496809910380784,2.0966296310213703,-0.3409788778582933,1.4471459143140373,0.0,debt consolidation,Short Term,0.9865502223532562,-1.2992765131206168,37530.0,1.7304806042790029,0,0,-1.7068718463092056,0,other,0,1,0,0
25,Rent,0.25047339899335297,10+ years,-0.11095342154390785,-1.8254212592169734,2.0577253420374504,2.1416423716327277,-0.3409788778582933,-0.6167493718054015,0.0,other,Short Term,-0.8589315363508283,-1.3004650109570495,22225.0,-0.5397061213533357,0,0,1.1640135221007732,0,other,0,1,0,0
26,Home Mortgage,-0.5587079450994227,2 years,-0.11095342154390785,2.194774801622232,-0.2990706817107175,0.7457387941426683,-0.3409788778582933,-0.6187752830315801,0.0,other,Short Term,-1.0741079131838855,0.3866097160790399,17046.0,-0.4330464425970933,0,0,-0.9239031094701204,1,other,0,1,0,0
27,Rent,-0.4526949704441236,8 years,-0.11095342154390785,-0.879492774313631,-0.5179160267730475,-0.4694144704122375,-0.3409788778582933,-0.6152313214152674,0.0,debt consolidation,Short Term,-1.3137923252048256,-0.14567243385939338,6041.0,-0.471831780326636,0,0,0.6420343642080498,0,other,0,1,0,0
28,Home Mortgage,-1.0428083481372847,10+ years,-0.11095342154390785,0.30291783181554705,0.3237968388512982,0.12420694072934968,-0.3409788778582933,-0.6176274704297483,0.0,debt consolidation,Short Term,-0.6139510863362775,0.24712749589229913,13807.0,-0.44274277702947895,0,0,1.1640135221007732,1,other,0,1,0,0
29,Rent,0.49815231365111295,10+ years,-0.11095342154390785,-0.4065285318619598,0.1722885230389162,-0.8794881666597728,-0.3409788778582933,1.719826229726006,0.0,debt consolidation,Short Term,0.42332097575298233,-0.8748044913194366,22352.0,1.9221182922235696,1,0,1.1640135221007732,0,other,0,1,0,0
30,Rent,-1.2409033505978726,7 years,-0.11095342154390785,-0.6430106530877954,-0.602087313335482,-0.7681642841590853,1.6647792271904904,-0.6020398528640778,1.0,debt consolidation,Short Term,-1.3144258966945384,-0.431498499580771,6128.0,-0.5445542885695285,0,0,0.3810447852616881,0,other,0,1,0,0
31,Own Home,0.12287511108693883,10+ years,-0.11095342154390785,0.06643571058971146,0.49213941197616734,1.0250975261289739,-0.3409788778582933,-0.6187685369451791,0.0,debt consolidation,Long Term,-1.314203986313619,2.4857046442280475,26549.0,-0.5978841279476497,0,1,1.1640135221007732,0,other,0,1,0,0
32,Home Mortgage,0.6003544871878455,10+ years,-0.11095342154390785,1.9582926803963965,1.2496809910380784,2.3473149929289723,-0.3409788778582933,1.6145500448355385,0.0,debt consolidation,Short Term,-0.05252814720154859,1.6257517625122142,28247.0,-0.5106171180561787,1,0,1.1640135221007732,1,other,0,1,0,0
33,Home Mortgage,-0.23840430884661507,< 1 year,-0.11095342154390785,0.5393999530413827,0.576310698538602,-1.1252144978220555,-0.3409788778582933,1.793085422677234,0.0,other,Short Term,-1.0055811237097692,-0.9489325422090028,14003.0,2.0813774571443915,1,0,-1.445882267362844,1,other,0,1,0,0
